"Year";"Female";"Male";"Total"
"54";2000;43846;47064;90910
"55";2001;44099;46616;90715
"56";2002;45074;47712;92786
"57";2003;45554;48131;93685
"58";2004;47402;50262;97664
"59";2005;49758;52453;102211
"60";2006;51219;54612;105831
"61";2007;56157;58475;114632
"62";2008;58244;61326;119570
"63";2009;57980;60368;118348
"64";2010;56933;60220;117153
"65";2011;52884;55789;108673
"66";2012;53040;55536;108576
"67";2013;52049;54702;106751
"68";2014;53616;56636;110252
"69";2015;53947;56817;110764
"70";2016;54826;57837;112663
"71";2017;55734;58671;114405
"72";2018;55780;58256;114036
